run_name,checkpoint_path,dice_coef,dice_loss,IoU,accuracy,sensitivity,specificity,f1_score,f_beta,normalized_surface_distance,Hausdorff_distance,boundary_intersection_over_union,mean_epistemic_uncertainty,mean_aleatoric_uncertainty,elapsed,checkpoint_id
TERRAMINDxPS,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/PS/20260116-0930_TERRAMINDxPS.pt,0.723492,0.276508,0.566774,0.987637,0.794936,0.991639,0.723492,0.76473,0.380901,126.605872,0.21745,-8.872810641226236e-11,0.000523,00:01:31,20260116-0930_TERRAMINDxPS
TERRAMINDxPS,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/PS/20260116-1418_TERRAMINDxPS.pt,0.711671,0.288329,0.552398,0.986909,0.794075,0.990914,0.711671,0.758925,0.382882,126.846419,0.221549,-5.667006463960395e-11,0.000474,00:01:28,20260116-1418_TERRAMINDxPS
TERRAMINDxPS,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/PS/20260116-1904_TERRAMINDxPS.pt,0.552172,0.447828,0.38138,0.973922,0.790188,0.977738,0.552172,0.67398,0.33861,129.868508,0.178215,-1.99338800550857e-10,0.000736,00:01:25,20260116-1904_TERRAMINDxPS
TERRAMINDxPS,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/PS/20260116-2343_TERRAMINDxPS.pt,0.710909,0.289091,0.551481,0.986804,0.797437,0.990737,0.710909,0.760415,0.382275,124.584725,0.219265,-1.1163665907874012e-10,0.000504,00:01:26,20260116-2343_TERRAMINDxPS
TERRAMINDxPS,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/PS/20260117-0424_TERRAMINDxPS.pt,0.72162,0.27838,0.564479,0.98755,0.79313,0.991587,0.72162,0.76289,0.371485,127.825661,0.215381,-4.5940380013230397e-11,0.000452,00:01:25,20260117-0424_TERRAMINDxPS
TERRAMINDxPS,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/PS/20260117-0905_TERRAMINDxPS.pt,0.712009,0.287991,0.552806,0.986908,0.795462,0.990884,0.712009,0.759838,0.39711,115.276112,0.242398,-5.086508874311733e-11,0.000472,00:01:28,20260117-0905_TERRAMINDxPS
TERRAMINDxPS,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/PS/20260117-1353_TERRAMINDxPS.pt,0.71631,0.28369,0.558008,0.987271,0.789852,0.991371,0.71631,0.758694,0.40537,116.736786,0.244341,-5.3235675805386936e-11,0.000463,00:01:26,20260117-1353_TERRAMINDxPS
TERRAMINDxPS,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/PS/20260117-1846_TERRAMINDxPS.pt,0.546895,0.453105,0.376363,0.973524,0.785314,0.977433,0.546895,0.668705,0.35984,130.783956,0.196824,-1.8734265967695809e-10,0.000591,00:01:27,20260117-1846_TERRAMINDxPS
TERRAMINDxPS,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/PS/20260117-2336_TERRAMINDxPS.pt,0.709996,0.290004,0.550383,0.986986,0.783002,0.991222,0.709996,0.75207,0.375499,126.084099,0.212542,-4.065698048385071e-11,0.000486,00:01:28,20260117-2336_TERRAMINDxPS
TERRAMINDxPS,/isipd/projects/p_planetdw/data/methods_test/models/TERRAMIND/PS/20260118-0434_TERRAMINDxPS.pt,0.547098,0.452902,0.376556,0.973102,0.798508,0.976728,0.547098,0.674522,0.369278,125.02001,0.206782,-2.317731153392292e-10,0.000644,00:01:31,20260118-0434_TERRAMINDxPS
