run_name,checkpoint_path,dice_coef,dice_loss,IoU,accuracy,sensitivity,specificity,f1_score,f_beta,normalized_surface_distance,Hausdorff_distance,boundary_intersection_over_union,mean_epistemic_uncertainty,mean_aleatoric_uncertainty,elapsed
UNETxAE,/isipd/projects/p_planetdw/data/methods_test/models/UNET/AE/20251229-1642_UNETxAE.pt,0.869989,0.130011,0.769894,0.994579,0.927831,0.995910,0.869989,0.903795,0.350595,2173.316467,0.131946,0.000235,0.000045,02:10:21
UNETxAE,/isipd/projects/p_planetdw/data/methods_test/models/UNET/AE/20251231-0301_UNETxAE.pt,0.490858,0.509142,0.325256,0.962300,0.929672,0.962950,0.490858,0.684796,0.370296,2066.424801,0.147944,0.000216,0.000036,02:04:47
UNETxAE,/isipd/projects/p_planetdw/data/methods_test/models/UNET/AE/20260101-1225_UNETxAE.pt,0.892402,0.107598,0.805709,0.995629,0.927327,0.996991,0.892402,0.913034,0.374163,2018.887762,0.147667,0.000182,0.000037,02:10:40
UNETxAE,/isipd/projects/p_planetdw/data/methods_test/models/UNET/AE/20260102-2134_UNETxAE.pt,0.878120,0.121880,0.782721,0.994973,0.926491,0.996338,0.878120,0.906517,0.351030,2148.400824,0.131382,0.000247,0.000029,02:09:34
UNETxAE,/isipd/projects/p_planetdw/data/methods_test/models/UNET/AE/20260105-0741_UNETxAE.pt,0.488488,0.511512,0.323179,0.961933,0.929855,0.962573,0.488488,0.683007,0.369876,2057.845882,0.146291,0.000210,0.000038,02:03:35
UNETxAE,/isipd/projects/p_planetdw/data/methods_test/models/UNET/AE/20260107-1026_UNETxAE.pt,0.867593,0.132407,0.766150,0.994448,0.930469,0.995724,0.867593,0.904256,0.376076,1957.790705,0.157099,0.000206,0.000032,01:54:10
UNETxAE,/isipd/projects/p_planetdw/data/methods_test/models/UNET/AE/20260112-1126_UNETxAE.pt,0.874550,0.125450,0.777068,0.994790,0.929080,0.996100,0.874550,0.906472,0.368701,2037.752581,0.144418,0.000183,0.000045,02:01:45
UNETxAE,/isipd/projects/p_planetdw/data/methods_test/models/UNET/AE/20260112-1124_UNETxAE.pt,0.564523,0.435477,0.393265,0.971934,0.930619,0.972757,0.564523,0.738937,0.362849,2093.414808,0.144681,0.001701,0.000449,01:59:20
UNETxAE,/isipd/projects/p_planetdw/data/methods_test/models/UNET/AE/20260116-0727_UNETxAE.pt,0.902735,0.097265,0.822714,0.996087,0.928948,0.997426,0.902735,0.918282,0.380594,1990.494558,0.152453,0.000168,0.000027,02:04:12
UNETxAE,/isipd/projects/p_planetdw/data/methods_test/models/UNET/AE/20260117-1938_UNETxAE.pt,0.884758,0.115242,0.793333,0.995281,0.926671,0.996649,0.884758,0.909438,0.369394,2034.109355,0.146241,0.000225,0.000029,02:03:50
